% function evaluation | noise-free fitness - Fopt (-9.210000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.992761284e+02 +3.992761284e+02 +4.116461284e+02 +4.116461284e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
44 +3.944656973e+02 +3.944656973e+02 +4.068356973e+02 +4.068356973e+02 +4.1328e-01 +6.4234e-01 +2.6484e-01 +4.2640e-01 +1.6716e-01 +5.2611e-01 +8.5665e-01 +8.7027e-01 +7.5630e-01 +9.5572e-01 +6.3418e-02 +9.0790e-02 +9.3035e-01 +3.4031e-01 +4.1131e-02 +2.3471e-01 +9.4392e-01 +4.3285e-01 +1.6056e-01 +2.2174e-01
21694 +3.882549801e+02 +3.882549801e+02 +4.006249801e+02 +4.006249801e+02 +8.1873e-01 +7.2856e-01 +6.8109e-01 +6.6981e-01 +1.2263e-01 +3.4669e-01 +2.6625e-01 +9.4022e-01 +4.6319e-01 +6.5764e-01 +1.8223e-01 +7.0534e-01 +9.6097e-01 +5.0315e-02 +3.3794e-02 +1.1339e-03 +9.7472e-01 +2.5067e-01 +2.1029e-01 +3.3682e-01
90469 +3.792445682e+02 +3.792445682e+02 +3.916145682e+02 +3.916145682e+02 +1.0214e-01 +2.1129e-01 +9.9586e-01 +9.1811e-01 +2.8234e-01 +3.9275e-01 +9.1197e-01 +2.3149e-01 +2.2824e-01 +9.3824e-01 +8.4483e-01 +7.6210e-01 +9.7536e-01 +1.1580e-01 +2.6910e-02 +9.4567e-02 +9.9230e-01 +9.5956e-02 +6.3583e-02 +5.9713e-03
% function evaluation | noise-free fitness - Fopt (6.580000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.992761284e+02 +3.992761284e+02 +4.058561284e+02 +4.058561284e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +3.940397170e+02 +3.940397170e+02 +4.006197170e+02 +4.006197170e+02 +7.4300e-01 +2.9845e-01 +6.5889e-01 +5.9417e-02 +2.2888e-01 +5.0600e-01 +7.9662e-01 +1.5035e-01 +9.1343e-01 +8.6902e-01 +8.6478e-01 +3.4363e-01 +3.2620e-01 +4.2478e-01 +3.9960e-01 +5.9982e-01 +2.2461e-01 +8.0881e-01 +6.4732e-01 +7.3234e-01
3 +3.849874009e+02 +3.849874009e+02 +3.915674009e+02 +3.915674009e+02 +9.5349e-02 +3.1582e-01 +4.1510e-01 +9.5884e-01 +5.8446e-01 +6.0701e-01 +5.7680e-01 +1.2224e-02 +4.3889e-01 +8.1451e-01 +7.5244e-01 +1.6142e-01 +2.4519e-01 +2.5564e-01 +1.4932e-01 +7.1459e-01 +9.4802e-03 +2.5501e-01 +7.9074e-01 +6.0490e-01
413 +3.791422948e+02 +3.791422948e+02 +3.857222948e+02 +3.857222948e+02 +6.2852e-01 +5.1809e-01 +9.0288e-01 +2.6561e-01 +1.4272e-01 +2.8605e-01 +5.3324e-01 +9.3847e-01 +7.4129e-01 +5.7034e-01 +1.2319e-01 +7.4860e-01 +6.9363e-01 +4.3629e-02 +4.0724e-02 +8.1722e-01 +1.3925e-01 +1.9415e-02 +6.2081e-01 +9.4992e-01
38871 +3.704687921e+02 +3.704687921e+02 +3.770487921e+02 +3.770487921e+02 +1.4012e-01 +5.4898e-01 +9.5629e-01 +4.4595e-02 +9.2721e-01 +8.0504e-01 +4.9938e-03 +9.3300e-01 +8.7415e-01 +3.8670e-02 +8.7761e-01 +9.7050e-01 +8.6178e-02 +2.5884e-01 +4.1696e-02 +3.9530e-01 +1.3925e-01 +1.1050e-01 +9.8338e-01 +9.8031e-01
