gen	time   	min     	avg     	max     	std    
0  	0.158472	-5363.31	-5149.22	-5040.88	134.008
1  	0.237612	-8886.48	-6522.5 	-4760.86	1861.92
2  	0.314765	-6742.64	-5567.32	-4759.88	754.718
3  	0.374045	-6595.03	-5333.71	-4759.88	673.833
4  	0.447691	-5630.94	-5170.03	-4759.88	318.646
5  	0.515511	-5171.1 	-4917.91	-4759.88	165.556
6  	0.61867 	-6039.67	-5045.12	-4759.88	498.589
7  	0.704807	-8145.46	-5719.28	-4756.92	1304.04
8  	0.790897	-9138.64	-5750.21	-4756.92	1705.49
9  	0.873486	-5992.91	-5198.11	-4756.92	438.124
gen	time    	min     	avg     	max     	std    
0  	0.146857	-6536.27	-5353.86	-4606.7 	714.292
1  	0.211023	-6442.67	-5165.02	-4606.7 	705.827
2  	0.291186	-5364.69	-4939.05	-4606.7 	318.169
3  	0.365099	-5594.67	-4923.43	-4606.7 	349.801
4  	0.413822	-5682.84	-5016.9 	-4606.7 	470.368
5  	0.494417	-5407.15	-4962.56	-4606.7 	332.953
6  	0.577112	-5504.41	-5049.1 	-4606.7 	367.869
7  	0.662143	-5592.01	-5088.24	-4606.7 	339.486
8  	0.745965	-7183.65	-5525.5 	-4524.91	985.392
9  	0.825407	-6132.26	-5048.94	-4524.91	611.561
gen	time    	min     	avg     	max     	std    
0  	0.174665	-7818.7 	-5404.77	-4400.59	1337.53
1  	0.232025	-4445.05	-4242.34	-3549.34	346.884
2  	0.307152	-4795.98	-4173.97	-3549.34	454.669
3  	0.38576 	-4896.16	-4025.63	-3527.82	539.461
4  	0.64963 	-4115.12	-3702.1 	-3527.82	216.116
5  	0.725824	-3843.58	-3726.35	-3527.82	105.353
6  	0.800738	-3803.97	-3616.32	-3436.2 	154.361
7  	0.856136	-3752.67	-3546.2 	-3436.2 	129.474
8  	0.918777	-6504.65	-4310.41	-3436.2 	1136.77
9  	0.991581	-4708.68	-3981.84	-3436.2 	522.336
gen	time    	min     	avg     	max     	std    
0  	0.156048	-7446.37	-5107.76	-3678.82	1363.97
1  	0.229715	-5510.71	-4248.35	-3678.82	647.442
2  	0.287829	-3987.68	-3759.61	-3600.56	158.375
3  	0.343871	-3765.46	-3715.49	-3600.56	63.6179
4  	0.417738	-4672.62	-3930.24	-3600.56	400.216
5  	0.475154	-3733.74	-3651.83	-3584.29	63.1829
6  	0.552245	-4366.15	-3813.54	-3301.43	374.544
7  	0.624854	-4059.91	-3604.21	-3287.54	294.538
8  	0.680916	-3804.86	-3436.36	-3287.54	198.05 
9  	0.761633	-4121.49	-3510.58	-3274.29	326.944
gen	time    	min     	avg     	max     	std    
0  	0.16135 	-7826.43	-6187.36	-5088.13	1164.39
1  	0.222794	-5691.37	-5343.27	-4954.03	290.426
2  	0.299179	-5821.38	-5532.52	-4954.03	310.243
3  	0.376218	-7359.07	-5938.96	-4940.46	971.672
4  	0.451015	-6784.06	-5622.78	-4940.46	646.074
5  	0.527896	-5536.2 	-5209.63	-4940.46	194.327
6  	0.609648	-5808.55	-5351.44	-4940.46	350.423
7  	0.688102	-5747   	-5296.24	-4940.46	310.76 
8  	0.770052	-5283.71	-4930.32	-4574.97	245.923
9  	0.850514	-6300.21	-5232.77	-4574.97	584.867
gen	time    	min     	avg     	max     	std    
0  	0.169373	-14995  	-6664.82	-4388.92	4168.31
1  	0.229852	-4574.23	-4479.38	-4368.14	84.8459
2  	0.291098	-6019.7 	-4886.72	-4368.14	591.704
3  	0.366748	-4619.92	-4484.3 	-4368.14	104.399
4  	0.438788	-5277.54	-4641.61	-4368.14	338.147
5  	0.496664	-5194.24	-4565.36	-4368.14	316.161
6  	0.559021	-4464.13	-4369.74	-4217.71	82.6465
7  	0.640364	-9890.59	-6067.96	-4217.71	2249.27
8  	0.720898	-8216.96	-5314.76	-4217.71	1532.6 
9  	0.792591	-4612.8 	-4398.16	-4217.71	135.838
gen	time    	min     	avg     	max     	std    
0  	0.160037	-7278.41	-6724.28	-6091.78	444.351
1  	0.240027	-7174.08	-6709.23	-6091.78	389.4  
2  	0.310375	-6947.03	-6546.43	-6091.78	379.239
3  	0.387037	-6423.9 	-6042.43	-5651.32	268.923
4  	0.473209	-8003.53	-6519.92	-5651.32	819.641
5  	0.551907	-6438.46	-6158.58	-5651.32	271.447
6  	0.630225	-6585.96	-6117.64	-5299.05	536.819
7  	0.708699	-5818.97	-5537.44	-5236.9 	237.212
8  	0.741479	-5611.07	-5336.59	-5236.9 	140.023
9  	0.818786	-6988.05	-5579.19	-5181.76	705.507
gen	time    	min     	avg     	max     	std    
0  	0.227109	-11236.3	-8083.56	-5255.8 	2435.94
1  	0.290403	-6853.41	-5716.67	-5255.8 	596.217
2  	0.353599	-5685.16	-5357.89	-5248.51	166.21 
3  	0.41563 	-5512.33	-5173.69	-4567.04	318.719
4  	0.493672	-5849.54	-5187.02	-4567.04	436.803
5  	0.580624	-7865.21	-5700.42	-4523.53	1216.41
6  	0.64184 	-5000.81	-4645.42	-4443.58	191.794
7  	0.722508	-14986.6	-7419.24	-4443.58	3941.32
8  	0.803368	-7844.2 	-5449.45	-4407.2 	1344.39
9  	0.91512 	-4732.79	-4588.22	-4407.2 	117.578
gen	time    	min     	avg     	max     	std    
0  	0.124872	-7407.38	-5778.63	-5064.7 	866.609
1  	0.206284	-5220.7 	-5015.5 	-4766.14	195.871
2  	0.257877	-8213.58	-5614.55	-4766.14	1313.09
3  	0.334045	-5498.23	-4964.68	-4708.26	280.395
4  	0.419117	-5418.17	-5031.85	-4708.26	240.547
5  	0.500088	-8005.21	-5599.14	-4708.26	1220.71
6  	0.577565	-5788.91	-5292.59	-4708.26	414.608
7  	0.621602	-5005.98	-4783.79	-4708.26	115.324
8  	0.703506	-5229.52	-4856.94	-4708.26	189.945
9  	0.781081	-5964.2 	-5160.67	-4708.26	429.255
gen	time    	min     	avg     	max     	std    
0  	0.187288	-18714.4	-8406.26	-5176.52	5170.15
1  	0.253133	-5979.94	-5402.39	-5176.52	299.221
2  	0.347881	-6030.75	-5439.95	-5072.87	340.427
3  	0.429018	-7272.05	-5957.93	-5072.87	1017.73
4  	0.487894	-5279.89	-5142.37	-5007.51	95.743 
5  	0.565169	-5159.79	-5052.79	-4957.6 	85.6256
6  	0.650121	-5999.53	-5476.76	-4957.6 	386.797
7  	0.718473	-6282.26	-5644.36	-4957.6 	589.997
8  	0.808382	-5247.64	-5056.27	-4957.6 	104.788
9  	0.857218	-5175.34	-5014.12	-4919.48	93.2697
gen	time    	min     	avg     	max     	std    
0  	0.149987	-9394.4 	-6303.47	-5507.25	1545.66
1  	0.214964	-5782.38	-5385.38	-4684.47	369.378
2  	0.279653	-4900.21	-4629.45	-4173.2 	242.281
3  	0.341954	-6730.66	-5034.82	-4173.2 	898.92 
4  	0.400346	-4840.92	-4510.3 	-4173.2 	228.097
5  	0.468551	-4680.62	-4494.65	-4173.2 	188.992
6  	0.544191	-5193.79	-4681.99	-4173.2 	396.257
7  	0.618686	-6661.49	-5636.36	-4173.2 	938.685
8  	0.696728	-6268.72	-5085.83	-4173.2 	772.837
9  	0.7715  	-4590.34	-4304.46	-4162.28	159.821
