avg     	gen	max     	min     	std    	time   
-2699.17	2  	-2366.7 	-3360.2 	155.141	38.4605
-2612.07	3  	-2340.45	-3343.71	144.953	47.0881
-2547.6 	4  	-2300.13	-6369.24	205.189	55.355 
-2491.64	5  	-2294.29	-3181.63	116.7  	63.649 
-2436.72	6  	-2281.51	-3057.56	87.7239	72.0702
-2389.72	7  	-2281.51	-2735.58	61.328 	80.5413
-2357.34	8  	-2272.7 	-2632.63	47.4819	89.3669
-2329   	9  	-2268.29	-2674.51	35.9649	97.6194
-2311.08	10 	-2263.15	-2480.75	26.4265	105.761
-2298.99	11 	-2247.25	-2888.58	40.2644	114.238
-2288.23	12 	-2243.51	-3771.43	73.1162	122.615
-2275.86	13 	-2237.1 	-2645.62	28.925 	131.259
-2267.11	14 	-2232.49	-2605.71	25.7398	139.664
-2257.43	15 	-2216.2 	-2686.66	24.434 	148.09 
-2248.79	16 	-2216.2 	-2412.43	16.368 	156.591
-2240.69	17 	-2209.68	-2405.03	16.2563	165.232
-2234.42	18 	-2201.76	-2644.07	26.2988	174.197
-2227.39	19 	-2196.62	-2736.1 	25.7559	182.56 
-2219.85	20 	-2196.62	-2397.05	12.5483	191.443
-2216.32	21 	-2194.64	-2476.26	20.6416	200.031
-2213.18	22 	-2192.9 	-2548.94	21.0662	208.429
-2206.58	23 	-2185.72	-2249.18	8.30741	216.842
-2202.76	24 	-2183.55	-2363.15	11.8354	225.227
-2199.88	25 	-2182.03	-2624.83	25.683 	233.959
-2194.08	26 	-2179.76	-2293.78	10.1835	242.591
-2191.98	27 	-2179.76	-2451.69	17.1217	251.157
-2189.99	28 	-2176.68	-2348.59	18.0941	259.519
-2187.56	29 	-2175.04	-2307.77	12.8501	267.929
-2185.58	30 	-2173.21	-2358.39	13.741 	276.37 
-2184.12	31 	-2170.88	-2454.91	16.5279	284.871
-2183.72	32 	-2167.1 	-3310.62	52.0857	293.226
-2181.15	33 	-2167.1 	-2590.57	31.9033	301.788
-2178.87	34 	-2164.75	-3048.54	44.8304	309.904
-2178.65	35 	-2163.24	-2973.9 	48.4586	318.511
-2172.14	36 	-2161.91	-2287.98	9.95406	327.071
-2172.23	37 	-2161.87	-2520.18	24.3086	335.529
-2169.16	38 	-2158.52	-2345.71	13.964 	343.913
-2167.79	39 	-2154.4 	-2444.08	19.9988	352.47 
-2166.53	40 	-2154.4 	-2519.85	24.6378	360.897
-2163.7 	41 	-2153.67	-2263.8 	9.7521 	369.625
-2163.68	42 	-2153.67	-2586.24	28.9873	378.195
-2160.82	43 	-2152.9 	-2294.83	11.601 	386.816
-2160.45	44 	-2152.11	-2514.97	21.6796	395.306
-2157.98	45 	-2150.93	-2458.09	17.1717	403.59 
-2157.15	46 	-2150.61	-2567.75	21.2688	412.029
-2155.55	47 	-2149.06	-2356.03	13.2973	420.375
-2155.96	48 	-2149.06	-2345.92	16.509 	428.914
-2154.51	49 	-2148.48	-2430.99	16.7621	437.411
-2152.64	50 	-2146.69	-2332.33	10.8162	446.054
-2153.65	51 	-2146.18	-2507.55	25.8729	454.269
-2153.4 	52 	-2145.59	-2499.71	24.8981	462.843
-2150.61	53 	-2145.39	-2317.6 	13.6312	471.342
-2149.96	54 	-2144.59	-2621.36	23.8111	480.002
-2148.42	55 	-2143.8 	-2304.94	11.7013	488.533
-2147.3 	56 	-2143.8 	-2221.66	7.11036	496.777
-2148.03	57 	-2143.3 	-2281.33	12.7113	505.444
-2147.11	58 	-2143.1 	-2264.77	10.9244	513.838
-2147.06	59 	-2142.3 	-2241.17	11.8097	522.188
-2147.11	60 	-2142.2 	-2892.79	34.8065	530.481
-2148.56	61 	-2142.2 	-3309.9 	54.28  	539.073
-2146.4 	62 	-2141.41	-2512.66	22.2951	547.209
-2148.22	63 	-2141.36	-3170.14	52.9612	555.489
-2144.16	64 	-2141.31	-2270   	8.97438	564.078
-2143.65	65 	-2140.66	-2295.55	9.34027	572.404
-2144.13	66 	-2140.31	-2300.9 	11.0796	580.75 
-2143.79	67 	-2140.21	-2330.45	12.6589	589.46 
-2145.53	68 	-2140.21	-2558.24	30.2449	598.075
-2144.65	69 	-2140.21	-2609.05	24.5029	606.371
-2145.27	70 	-2140.21	-2632.7 	28.2157	615.12 
-2143.41	71 	-2139.81	-2618.56	23.6354	623.36 
-2142.9 	72 	-2139.81	-2393.78	16.8676	631.79 
-2142.97	73 	-2139.81	-2292.56	11.0461	640.327
-2143.93	74 	-2139.6 	-2512.47	25.2625	649.05 
-2143.07	75 	-2139.6 	-2452.63	21.4094	657.314
-2142.75	76 	-2139.6 	-2325.74	13.2461	665.655
-2148.1 	77 	-2139.6 	-5174.6 	135.815	674.284
-2141.48	78 	-2139.6 	-2206.68	7.33732	682.451
-2143.22	79 	-2139.6 	-3061.3 	43.1211	691.049
-2142.71	80 	-2139.6 	-2321.99	17.9975	699.8  
