avg  	gen	max  	min  	std	time   
-144000	7  	-144000	-144000	0  	947.311
-144000	8  	-144000	-144000	0  	1054.72
-144000	9  	-144000	-144000	0  	1161.98
-144000	10 	-144000	-144000	0  	1266.56
-144000	11 	-144000	-144000	0  	1372.84
-144000	12 	-144000	-144000	0  	1478.09
-144000	13 	-144000	-144000	0  	1582.2 
-144000	14 	-144000	-144000	0  	1686.79
-144000	15 	-144000	-144000	0  	1790.81
-144000	16 	-144000	-144000	0  	1893.1 
-144000	17 	-144000	-144000	0  	1992.55
-144000	18 	-144000	-144000	0  	2096.62
-144000	19 	-144000	-144000	0  	2198.18
-144000	20 	-144000	-144000	0  	2300.71
-144000	21 	-144000	-144000	0  	2404.03
-144000	22 	-144000	-144000	0  	2506.27
-144000	23 	-144000	-144000	0  	2612.46
-144000	24 	-144000	-144000	0  	2713.43
-144000	25 	-144000	-144000	0  	2815.03
-144000	26 	-144000	-144000	0  	2913.66
-144000	27 	-144000	-144000	0  	3012.63
-144000	28 	-144000	-144000	0  	3116.37
-144000	29 	-144000	-144000	0  	3221.12
-144000	30 	-144000	-144000	0  	3321.69
-144000	31 	-144000	-144000	0  	3425.22
-144000	32 	-144000	-144000	0  	3523.21
-144000	33 	-144000	-144000	0  	3617.51
-144000	34 	-144000	-144000	0  	3718.17
-144000	35 	-144000	-144000	0  	3815.32
-144000	36 	-144000	-144000	0  	3914.15
-144000	37 	-144000	-144000	0  	4014.78
-144000	38 	-144000	-144000	0  	4112.79
-144000	39 	-144000	-144000	0  	4210.91
-144000	40 	-144000	-144000	0  	4309.47
-144000	41 	-144000	-144000	0  	4404.57
-144000	42 	-144000	-144000	0  	4498.31
-144000	43 	-144000	-144000	0  	4591.57
-144000	44 	-144000	-144000	0  	4688.95
-144000	45 	-144000	-144000	0  	4782.06
-144000	46 	-144000	-144000	0  	4877.78
-144000	47 	-144000	-144000	0  	4971.63
-144000	48 	-144000	-144000	0  	5069.94
-144000	49 	-144000	-144000	0  	5165.24
-144000	50 	-144000	-144000	0  	5260.5 
-144000	51 	-144000	-144000	0  	5353.94
-144000	52 	-144000	-144000	0  	5445.99
-144000	53 	-144000	-144000	0  	5541.26
-144000	54 	-144000	-144000	0  	5635.29
-144000	55 	-144000	-144000	0  	5731.59
-144000	56 	-144000	-144000	0  	5828.31
-144000	57 	-144000	-144000	0  	5921.06
-144000	58 	-144000	-144000	0  	6014.42
-144000	59 	-144000	-144000	0  	6109.81
-144000	60 	-144000	-144000	0  	6200.64
-144000	61 	-144000	-144000	0  	6292.95
-144000	62 	-144000	-144000	0  	6386.48
-144000	63 	-144000	-144000	0  	6480.22
-144000	64 	-144000	-144000	0  	6571.07
-144000	65 	-144000	-144000	0  	6662.93
-144000	66 	-144000	-144000	0  	6754.83
-144000	67 	-144000	-144000	0  	6847.54
-144000	68 	-144000	-144000	0  	6937.43
-144000	69 	-144000	-144000	0  	7028.22
-144000	70 	-144000	-144000	0  	7117.06
-144000	71 	-144000	-144000	0  	7210.85
-144000	72 	-144000	-144000	0  	7302.98
-144000	73 	-144000	-144000	0  	7392.16
-144000	74 	-144000	-144000	0  	7483.05
-144000	75 	-144000	-144000	0  	7574.19
-144000	76 	-144000	-144000	0  	7666.8 
-144000	77 	-144000	-144000	0  	7756.28
-144000	78 	-144000	-144000	0  	7846.86
-144000	79 	-144000	-144000	0  	7932.93
-144000	80 	-144000	-144000	0  	8021.19
-144000	81 	-144000	-144000	0  	8111.92
-144000	82 	-144000	-144000	0  	8196.97
-144000	83 	-144000	-144000	0  	8285.67
-144000	84 	-144000	-144000	0  	8372.88
-144000	85 	-144000	-144000	0  	8460.63
-144000	86 	-144000	-144000	0  	8549.16
-144000	87 	-144000	-144000	0  	8635.55
-144000	88 	-144000	-144000	0  	8720.77
-144000	89 	-144000	-144000	0  	8808.23
