% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1455 +8.161763657e-05 +8.161763657e-05 +7.948008162e+01 +7.948008162e+01 +2.5610e-01 -1.1564e+00 -7.2581e-01 +1.9264e+00 -2.6810e+00 +4.4020e-01 -1.1444e-01 +1.1598e-01 -1.6389e+00 -3.0501e+00 -3.8553e+00 +2.0131e+00 +1.0848e+00 -8.3428e-02 +3.6480e+00 +2.9092e+00 -1.2579e-01 -3.9264e+00 +2.3587e+00 +1.3575e+00
1492 +4.109936499e-05 +4.109936499e-05 +7.948004110e+01 +7.948004110e+01 +2.5602e-01 -1.1570e+00 -7.2563e-01 +1.9253e+00 -2.6817e+00 +4.4201e-01 -1.1759e-01 +1.1773e-01 -1.6373e+00 -3.0515e+00 -3.8539e+00 +2.0157e+00 +1.0862e+00 -8.7792e-02 +3.6483e+00 +2.9111e+00 -1.2581e-01 -3.9283e+00 +2.3611e+00 +1.3593e+00
1525 +3.049936495e-05 +3.049936495e-05 +7.948003050e+01 +7.948003050e+01 +2.5496e-01 -1.1556e+00 -7.2521e-01 +1.9255e+00 -2.6829e+00 +4.4086e-01 -1.1847e-01 +1.1838e-01 -1.6378e+00 -3.0522e+00 -3.8529e+00 +2.0171e+00 +1.0875e+00 -8.6343e-02 +3.6479e+00 +2.9093e+00 -1.2580e-01 -3.9277e+00 +2.3617e+00 +1.3603e+00
1538 +2.510180997e-05 +2.510180997e-05 +7.948002510e+01 +7.948002510e+01 +2.5314e-01 -1.1544e+00 -7.2410e-01 +1.9238e+00 -2.6792e+00 +4.3871e-01 -1.1670e-01 +1.1907e-01 -1.6393e+00 -3.0509e+00 -3.8523e+00 +2.0171e+00 +1.0859e+00 -8.6966e-02 +3.6466e+00 +2.9094e+00 -1.2411e-01 -3.9283e+00 +2.3619e+00 +1.3592e+00
1627 +1.099734331e-05 +1.099734331e-05 +7.948001100e+01 +7.948001100e+01 +2.5299e-01 -1.1566e+00 -7.2475e-01 +1.9248e+00 -2.6795e+00 +4.3903e-01 -1.1661e-01 +1.1952e-01 -1.6388e+00 -3.0504e+00 -3.8530e+00 +2.0159e+00 +1.0857e+00 -8.6837e-02 +3.6467e+00 +2.9093e+00 -1.2535e-01 -3.9271e+00 +2.3618e+00 +1.3591e+00
1645 +9.193685685e-06 +9.193685685e-06 +7.948000919e+01 +7.948000919e+01 +2.5291e-01 -1.1560e+00 -7.2440e-01 +1.9253e+00 -2.6798e+00 +4.3921e-01 -1.1741e-01 +1.1960e-01 -1.6375e+00 -3.0508e+00 -3.8524e+00 +2.0161e+00 +1.0875e+00 -8.6885e-02 +3.6466e+00 +2.9097e+00 -1.2477e-01 -3.9271e+00 +2.3618e+00 +1.3589e+00
1729 +6.180146244e-06 +6.180146244e-06 +7.948000618e+01 +7.948000618e+01 +2.5304e-01 -1.1568e+00 -7.2460e-01 +1.9251e+00 -2.6806e+00 +4.3900e-01 -1.1629e-01 +1.2033e-01 -1.6370e+00 -3.0511e+00 -3.8535e+00 +2.0160e+00 +1.0865e+00 -8.6645e-02 +3.6469e+00 +2.9097e+00 -1.2577e-01 -3.9277e+00 +2.3632e+00 +1.3592e+00
1781 +3.292463759e-06 +3.292463759e-06 +7.948000329e+01 +7.948000329e+01 +2.5186e-01 -1.1573e+00 -7.2371e-01 +1.9262e+00 -2.6809e+00 +4.3875e-01 -1.1679e-01 +1.2032e-01 -1.6376e+00 -3.0508e+00 -3.8541e+00 +2.0159e+00 +1.0869e+00 -8.6142e-02 +3.6473e+00 +2.9087e+00 -1.2563e-01 -3.9284e+00 +2.3621e+00 +1.3582e+00
1800 +2.287399312e-06 +2.287399312e-06 +7.948000229e+01 +7.948000229e+01 +2.5242e-01 -1.1569e+00 -7.2392e-01 +1.9262e+00 -2.6811e+00 +4.3922e-01 -1.1657e-01 +1.2012e-01 -1.6383e+00 -3.0506e+00 -3.8536e+00 +2.0157e+00 +1.0860e+00 -8.6469e-02 +3.6471e+00 +2.9092e+00 -1.2553e-01 -3.9280e+00 +2.3625e+00 +1.3581e+00
1864 +1.538807481e-06 +1.538807481e-06 +7.948000154e+01 +7.948000154e+01 +2.5268e-01 -1.1564e+00 -7.2408e-01 +1.9260e+00 -2.6805e+00 +4.3935e-01 -1.1648e-01 +1.2031e-01 -1.6381e+00 -3.0509e+00 -3.8532e+00 +2.0158e+00 +1.0863e+00 -8.6243e-02 +3.6472e+00 +2.9092e+00 -1.2475e-01 -3.9278e+00 +2.3622e+00 +1.3581e+00
