"","no.","longitude","latitude","magnitude","time","depth","year","month","days"
"68",68,0,0,3.19878599047661,12281.9009487166,0,0,0,0
"69",69,0,0,3.58715850114822,12281.9121713012,0,0,0,0
"70",70,0,0,3.03537103906274,12281.9157434621,0,0,0,0
"71",71,0,0,3.28973942995071,12281.9522884765,0,0,0,0
"72",72,0,0,3.41698548197746,12282.228221427,0,0,0,0
"73",73,0,0,5.6111741065979,12282.3756831086,0,0,0,0
"74",74,0,0,3.74335408210754,12282.3764626039,0,0,0,0
"75",75,0,0,3.08548794686794,12282.3777636164,0,0,0,0
"76",76,0,0,4.03586792945862,12282.3778725996,0,0,0,0
"77",77,0,0,3.45964381098747,12282.3781499245,0,0,0,0
"78",78,0,0,3.04836038500071,12282.3792119845,0,0,0,0
"79",79,0,0,4.64407539367676,12282.3821502088,0,0,0,0
"80",80,0,0,3.44725567102432,12282.3826503952,0,0,0,0
"81",81,0,0,3.28498485684395,12282.3827680443,0,0,0,0
"82",82,0,0,3.58834993839264,12282.3843194559,0,0,0,0
"83",83,0,0,5.30056476593018,12282.3852064187,0,0,0,0
"84",84,0,0,3.26079294085503,12282.3875600045,0,0,0,0
"85",85,0,0,3.29970914125443,12282.3876177009,0,0,0,0
"86",86,0,0,3.85064494609833,12282.3882099541,0,0,0,0
"87",87,0,0,3.05156510695815,12282.3896013641,0,0,0,0
"88",88,0,0,3.14294031262398,12282.3896535913,0,0,0,0
"89",89,0,0,3.3421625494957,12282.3934208579,0,0,0,0
"90",90,0,0,3.05195436999202,12282.3963884483,0,0,0,0
"91",91,0,0,3.33742427825928,12282.397719796,0,0,0,0
"92",92,0,0,3.05141443014145,12282.3978854351,0,0,0,0
"93",93,0,0,3.35127934813499,12282.4015702806,0,0,0,0
"94",94,0,0,3.03814928978682,12282.4031490271,0,0,0,0
"95",95,0,0,3.22091740369797,12282.4040141872,0,0,0,0
"96",96,0,0,3.18613629043102,12282.4064310412,0,0,0,0
