"","no.","longitude","latitude","magnitude","time","depth","year","month","days"
"1011",1011,0,0,3.27590137720108,76136.2428716854,0,0,0,0
"1012",1012,0,0,3.32965707778931,76136.2433691212,0,0,0,0
"1013",1013,0,0,3.68514627218246,76136.2434174996,0,0,0,0
"1014",1014,0,0,3.11321280896664,76136.2435357416,0,0,0,0
"1015",1015,0,0,3.74683666229248,76136.2440510145,0,0,0,0
"1016",1016,0,0,3.62790602445602,76136.2441349493,0,0,0,0
"1017",1017,0,0,3.43181577324867,76136.2445258172,0,0,0,0
"1018",1018,0,0,3.29569724202156,76136.2450457885,0,0,0,0
"1019",1019,0,0,3.01774498261511,76136.2453022241,0,0,0,0
"1020",1020,0,0,3.83618533611298,76136.2465944286,0,0,0,0
"1021",1021,0,0,3.53404474258423,76136.2469266093,0,0,0,0
"1022",1022,0,0,3.17881448566914,76136.2472403525,0,0,0,0
"1023",1023,0,0,3.79106330871582,76136.2473441465,0,0,0,0
"1024",1024,0,0,3.35466510057449,76136.247741634,0,0,0,0
"1025",1025,0,0,3.86004620790482,76136.2480445753,0,0,0,0
"1026",1026,0,0,4.32621192932129,76136.2489959596,0,0,0,0
"1027",1027,0,0,3.69612246751785,76136.2491819489,0,0,0,0
"1028",1028,0,0,3.53654915094376,76136.2492011004,0,0,0,0
"1029",1029,0,0,3.14637234807014,76136.2499534159,0,0,0,0
"1030",1030,0,0,3.63138908147812,76136.2502322767,0,0,0,0
"1031",1031,0,0,3.08830711990595,76136.2511451506,0,0,0,0
"1032",1032,0,0,3.15650470554829,76136.2513743819,0,0,0,0
"1033",1033,0,0,3.64409410953522,76136.2514966557,0,0,0,0
"1034",1034,0,0,3.52195411920547,76136.2518480101,0,0,0,0
"1035",1035,0,0,4.55212891101837,76136.2519484122,0,0,0,0
"1036",1036,0,0,3.73810070753098,76136.2521491619,0,0,0,0
"1037",1037,0,0,4.58967065811157,76136.2522452458,0,0,0,0
"1038",1038,0,0,3.22454325854778,76136.2541994181,0,0,0,0
"1039",1039,0,0,4.26911389827728,76136.2547956071,0,0,0,0
"1040",1040,0,0,3.40207004547119,76136.2559243523,0,0,0,0
"1041",1041,0,0,3.24682132899761,76136.2566566043,0,0,0,0
"1042",1042,0,0,3.74944806098938,76136.257266442,0,0,0,0
"1043",1043,0,0,3.16884890198708,76136.2574729346,0,0,0,0
"1044",1044,0,0,3.34679988026619,76136.2578659268,0,0,0,0
"1045",1045,0,0,3.39751815795898,76136.2588817217,0,0,0,0
"1046",1046,0,0,3.1931164264679,76136.2593500473,0,0,0,0
"1047",1047,0,0,3.22200106084347,76136.2603073299,0,0,0,0
"1048",1048,0,0,3.86006313562393,76136.2607107418,0,0,0,0
"1049",1049,0,0,3.74951374530792,76136.2611869337,0,0,0,0
"1050",1050,0,0,3.43051007390022,76136.2617989288,0,0,0,0
"1051",1051,0,0,3.04915288463235,76136.2621446754,0,0,0,0
"1052",1052,0,0,3.62323445081711,76136.2627878902,0,0,0,0
"1053",1053,0,0,3.12550541758537,76136.2633015764,0,0,0,0
"1054",1054,0,0,3.65756690502167,76136.2655794892,0,0,0,0
"1055",1055,0,0,3.04953343421221,76136.2657248325,0,0,0,0
"1056",1056,0,0,3.34342494606972,76136.2661629359,0,0,0,0
"1057",1057,0,0,3.85217463970184,76136.2663133991,0,0,0,0
"1058",1058,0,0,3.07681393623352,76136.2668137394,0,0,0,0
"1059",1059,0,0,3.69299936294556,76136.2677990011,0,0,0,0
"1060",1060,0,0,3.12293832749128,76136.2679066339,0,0,0,0
"1061",1061,0,0,3.19696089625359,76136.2695974872,0,0,0,0
"1062",1062,0,0,3.98878359794617,76136.2712769288,0,0,0,0
"1063",1063,0,0,3.59518206119537,76136.2734826495,0,0,0,0
"1064",1064,0,0,3.08836308121681,76136.2734894932,0,0,0,0
"1065",1065,0,0,3.09192964434624,76136.2738651239,0,0,0,0
"1066",1066,0,0,3.82565772533417,76136.275129185,0,0,0,0
"1067",1067,0,0,3.30104541778564,76136.275876918,0,0,0,0
"1068",1068,0,0,3.11571329087019,76136.2761898634,0,0,0,0
"1069",1069,0,0,3.60771453380585,76136.2766181621,0,0,0,0
"1070",1070,0,0,3.02386349067092,76136.2770006482,0,0,0,0
"1071",1071,0,0,3.27111423015594,76136.2773906159,0,0,0,0
"1072",1072,0,0,3.80401575565338,76136.2775301842,0,0,0,0
"1073",1073,0,0,3.10487968474627,76136.2785491633,0,0,0,0
"1074",1074,0,0,3.06696167588234,76136.2798066768,0,0,0,0
"1075",1075,0,0,3.47235977649689,76136.2799573473,0,0,0,0
"1076",1076,0,0,3.2882776260376,76136.2799711918,0,0,0,0
"1077",1077,0,0,3.13478289544582,76136.281843108,0,0,0,0
"1078",1078,0,0,4.24599897861481,76136.2823283707,0,0,0,0
"1079",1079,0,0,3.20851638913155,76136.2834728002,0,0,0,0
