"","no.","longitude","latitude","magnitude","time","depth","year","month","days"
"65",65,0,0,3.8709659576416,10285.1115381404,0,0,0,0
"66",66,0,0,5.10409998893738,10285.1222293222,0,0,0,0
"67",67,0,0,3.67822635173798,10285.1250072154,0,0,0,0
"68",68,0,0,3.19878599047661,10285.1263539058,0,0,0,0
"69",69,0,0,3.58715850114822,10285.1293932484,0,0,0,0
"70",70,0,0,3.03537103906274,10285.1351526725,0,0,0,0
"71",71,0,0,3.28973942995071,10285.1387123541,0,0,0,0
"72",72,0,0,3.41698548197746,10285.1559156308,0,0,0,0
"73",73,0,0,5.6111741065979,10285.1590855546,0,0,0,0
"74",74,0,0,3.74335408210754,10285.1591776923,0,0,0,0
"75",75,0,0,3.08548794686794,10285.1594069921,0,0,0,0
"76",76,0,0,4.03586792945862,10285.1599266889,0,0,0,0
"77",77,0,0,3.45964381098747,10285.1599426246,0,0,0,0
"78",78,0,0,3.04836038500071,10285.1600133537,0,0,0,0
"79",79,0,0,4.64407539367676,10285.1600854089,0,0,0,0
"80",80,0,0,3.44725567102432,10285.1601235109,0,0,0,0
"81",81,0,0,3.28498485684395,10285.1602607241,0,0,0,0
"82",82,0,0,3.58834993839264,10285.1603055142,0,0,0,0
"83",83,0,0,5.30056476593018,10285.1609240841,0,0,0,0
"84",84,0,0,3.26079294085503,10285.1612572293,0,0,0,0
"85",85,0,0,3.29970914125443,10285.1617192051,0,0,0,0
"86",86,0,0,3.85064494609833,10285.1618875415,0,0,0,0
"87",87,0,0,3.05156510695815,10285.1618992518,0,0,0,0
"88",88,0,0,3.14294031262398,10285.1619006334,0,0,0,0
"89",89,0,0,3.3421625494957,10285.1621151409,0,0,0,0
"90",90,0,0,3.05195436999202,10285.1621482737,0,0,0,0
"91",91,0,0,3.33742427825928,10285.1628254818,0,0,0,0
"92",92,0,0,3.05141443014145,10285.1628516901,0,0,0,0
"93",93,0,0,3.35127934813499,10285.1631399911,0,0,0,0
"94",94,0,0,3.03814928978682,10285.1636924085,0,0,0,0
"95",95,0,0,3.22091740369797,10285.1640871235,0,0,0,0
"96",96,0,0,3.18613629043102,10285.1645615011,0,0,0,0
