1: crossover='0.9', mutation='0.1', n_generations='100'
157: crossover='0.6836050130646926', mutation='0.7891715293112508', n_generations='165'
158: crossover='0.02167103396589065', mutation='0.5813317741183736', n_generations='114'
159: crossover='0.9477812340187459', mutation='0.7703100949378857', n_generations='220'
160: crossover='0.9130808994832113', mutation='0.15328389464664138', n_generations='73'
161: crossover='0.3938638585434707', mutation='0.6732988580592757', n_generations='101'
162: crossover='0.19194040206950636', mutation='0.01886956292481179', n_generations='55'
163: crossover='0.5583448762043932', mutation='0.48037947850703777', n_generations='224'
164: crossover='0.7701010100634981', mutation='0.09817977358647356', n_generations='205'
165: crossover='0.3312673816858641', mutation='0.8798521505547084', n_generations='157'
166: crossover='0.9897204395476377', mutation='0.1473925776481001', n_generations='246'
167: crossover='0.22180291208934766', mutation='0.5644485476080034', n_generations='168'
168: crossover='0.8122078910604698', mutation='0.09816826905957998', n_generations='91'
169: crossover='0.15106872390631831', mutation='0.7580338221824093', n_generations='144'
170: crossover='0.7362425310811684', mutation='0.13931303797721906', n_generations='244'
171: crossover='0.47798047903594343', mutation='0.708564191067504', n_generations='141'
172: crossover='0.45526327978647807', mutation='0.10870455875415219', n_generations='245'
173: crossover='0.331880453168821', mutation='0.49060615741338465', n_generations='158'
174: crossover='0.5215798717967844', mutation='0.10958035301688562', n_generations='247'
175: crossover='0.18032226039571742', mutation='0.6050288177801428', n_generations='220'
176: crossover='0.4697255315937555', mutation='0.14842985247993656', n_generations='209'
177: crossover='0.21945973551259068', mutation='0.004343539170452049', n_generations='71'
178: crossover='0.7368049249718108', mutation='0.15297314514378013', n_generations='150'
179: crossover='0.2734460280338925', mutation='0.9230612637558617', n_generations='155'
180: crossover='0.39927600149676923', mutation='0.14973630775033653', n_generations='249'
181: crossover='0.8020217143224034', mutation='0.6194463206755636', n_generations='102'
182: crossover='0.41317622234092033', mutation='0.15046687312912577', n_generations='218'
183: crossover='0.4082796884384462', mutation='0.9076385384757538', n_generations='213'
184: crossover='0.36560720584113005', mutation='0.15060610985145106', n_generations='168'
185: crossover='0.3626560345124604', mutation='0.3626752862629169', n_generations='84'
186: crossover='0.5528091054645536', mutation='0.15102513085431846', n_generations='225'
187: crossover='0.622100044703265', mutation='0.9341414643647483', n_generations='69'
188: crossover='0.013578985559105416', mutation='0.7999818664482939', n_generations='86'
189: crossover='0.187181077581268', mutation='0.21914880766749334', n_generations='116'
190: crossover='0.7079096453523627', mutation='0.1452855542307635', n_generations='209'
191: crossover='0.19620243166574736', mutation='0.8701579498584229', n_generations='164'
192: crossover='0.5277744066061621', mutation='0.0188867321793893', n_generations='55'
193: crossover='0.10372268804367601', mutation='0.2583362766950511', n_generations='179'
194: crossover='0.5685892007526533', mutation='0.14270459976679706', n_generations='61'
195: crossover='0.00731724001539491', mutation='0.6914217164149544', n_generations='135'
196: crossover='0.7689141617051458', mutation='0.20886878702130507', n_generations='230'
197: crossover='0.3019326362783187', mutation='0.17829628471281045', n_generations='217'
198: crossover='0.8310336624188378', mutation='0.21249908397966455', n_generations='191'
199: crossover='0.49285986369913637', mutation='0.5235110005372436', n_generations='157'
200: crossover='0.14363439146865487', mutation='0.7082243834414168', n_generations='133'
