1: crossover='0.9', mutation='0.1', n_generations='100'
87: crossover='0.6389644011277438', mutation='0.12991849757046303', n_generations='157'
88: crossover='0.03306093065628757', mutation='0.05179448525264607', n_generations='183'
89: crossover='0.9822047468694304', mutation='0.33362860539681494', n_generations='155'
90: crossover='0.010481495087618642', mutation='0.015649649048561587', n_generations='235'
91: crossover='0.7686033692724461', mutation='0.2680623144451211', n_generations='165'
92: crossover='0.044745999814886805', mutation='0.010994488513434653', n_generations='214'
93: crossover='0.14592452757633945', mutation='0.6708804546577967', n_generations='70'
94: crossover='0.04361586224878955', mutation='0.010554030215019217', n_generations='156'
95: crossover='0.6108438457298487', mutation='0.9561223570079612', n_generations='228'
96: crossover='0.04025542935854021', mutation='0.7287395349056537', n_generations='174'
97: crossover='0.9086560147047179', mutation='0.4517636455653047', n_generations='73'
98: crossover='0.06706652282753855', mutation='0.8609034616802143', n_generations='92'
99: crossover='0.5860449210404707', mutation='0.23407965984074586', n_generations='91'
100: crossover='0.06699322417313736', mutation='0.8148065268918724', n_generations='100'
101: crossover='0.09866854234210287', mutation='0.8473942290328489', n_generations='201'
102: crossover='0.6516079117067411', mutation='0.014920006001584052', n_generations='110'
103: crossover='0.9855547174577122', mutation='0.9319186983079789', n_generations='216'
104: crossover='0.8059602067832542', mutation='0.0744841960510425', n_generations='103'
105: crossover='0.36281537983083056', mutation='0.3988987919630371', n_generations='211'
106: crossover='0.04285842603612744', mutation='0.16245256114096396', n_generations='194'
107: crossover='0.2683201535260865', mutation='0.20787830486039593', n_generations='107'
108: crossover='0.9104774604128149', mutation='0.13527193682175642', n_generations='230'
109: crossover='0.41320305982600447', mutation='0.6393013284893336', n_generations='119'
110: crossover='0.019921088165327894', mutation='0.8477753492047572', n_generations='55'
111: crossover='0.3939762545160178', mutation='0.13534871086518852', n_generations='212'
112: crossover='0.06077304620565449', mutation='0.4878857673839583', n_generations='248'
113: crossover='0.1460164680420447', mutation='0.47084101710421167', n_generations='123'
114: crossover='0.049750882111000316', mutation='0.6604176145873211', n_generations='247'
115: crossover='0.5958367415236814', mutation='0.36987248651236304', n_generations='116'
116: crossover='0.02193632044817584', mutation='0.13350811271529872', n_generations='148'
117: crossover='0.08047612053171227', mutation='0.19721326567410957', n_generations='62'
118: crossover='0.05333627644431993', mutation='0.4791880165520076', n_generations='221'
119: crossover='0.35610257629979514', mutation='0.19490907098891386', n_generations='246'
120: crossover='0.052153219198666445', mutation='0.2932868182640238', n_generations='167'
121: crossover='0.18560655641708756', mutation='0.36205575334111506', n_generations='69'
122: crossover='0.05238152248087369', mutation='0.16791600203874324', n_generations='200'
123: crossover='0.8269868586190365', mutation='0.5839937630262197', n_generations='154'
124: crossover='0.052520497786499254', mutation='0.8321992358634562', n_generations='162'
125: crossover='0.827130158239522', mutation='0.22559507378330956', n_generations='143'
126: crossover='0.38806336960387533', mutation='0.13476495155356238', n_generations='193'
127: crossover='0.8509554497812798', mutation='0.7298130659382424', n_generations='93'
128: crossover='0.9872143783392352', mutation='0.13395368496291282', n_generations='71'
129: crossover='0.5729916831765002', mutation='0.7061313625766772', n_generations='77'
