% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
92 +1.024363315e+02 +1.024363315e+02 -1.446736685e+02 -1.446736685e+02 +3.7249e-01 +5.8835e-01 +4.0451e-01 +2.8882e-01 +1.9622e-01 +8.6813e-01 +6.2689e-01 +3.7990e-02 +9.4681e-01 +3.7737e-01 +2.8170e-01 +7.9962e-01 +8.4329e-01 +7.4307e-01 +7.2952e-01 +2.8170e-01 +9.5515e-01 +5.3315e-01 +9.7245e-01 +9.3129e-01
339 +1.018542543e+02 +1.018542543e+02 -1.452557457e+02 -1.452557457e+02 +2.4271e-01 +1.9191e-01 +2.1269e-01 +9.9377e-02 +3.0581e-01 +7.3700e-01 +9.5318e-01 +4.5099e-01 +1.6979e-01 +7.1380e-01 +6.2849e-01 +4.4669e-01 +7.9034e-01 +7.9001e-01 +9.5787e-01 +5.4677e-01 +1.7393e-01 +8.0754e-01 +8.5942e-01 +9.0404e-02
935 +9.969280174e+01 +9.969280174e+01 -1.474171983e+02 -1.474171983e+02 +2.2705e-01 +8.6875e-01 +6.2811e-02 +1.9053e-01 +3.3208e-01 +9.7958e-01 +8.0864e-01 +3.6434e-02 +5.1705e-01 +5.8359e-01 +6.8321e-01 +7.5263e-01 +1.8428e-01 +3.2070e-01 +7.9759e-01 +5.2338e-01 +9.2462e-01 +2.4107e-02 +7.5017e-01 +8.1015e-01
2774 +9.716177007e+01 +9.716177007e+01 -1.499482299e+02 -1.499482299e+02 +1.7255e-01 +7.7310e-01 +3.8801e-01 +1.3061e-01 +1.2460e-01 +9.1035e-01 +9.1843e-01 +2.5490e-01 +9.3695e-02 +9.1998e-01 +2.5967e-01 +5.8735e-01 +9.9188e-01 +2.3118e-01 +8.0353e-01 +6.3599e-01 +8.3700e-01 +1.0876e-01 +4.0609e-01 +3.3563e-01
4413 +9.517680909e+01 +9.517680909e+01 -1.519331909e+02 -1.519331909e+02 +4.7818e-02 +6.2278e-01 +3.8801e-01 +1.3061e-01 +1.2460e-01 +9.1035e-01 +9.1843e-01 +2.5490e-01 +9.3695e-02 +9.1998e-01 +2.5967e-01 +5.8735e-01 +9.9188e-01 +2.3118e-01 +8.0353e-01 +6.3599e-01 +8.3700e-01 +1.0876e-01 +7.5017e-01 +8.1015e-01
35159 +9.309328332e+01 +9.309328332e+01 -1.540167167e+02 -1.540167167e+02 +8.1681e-03 +6.2278e-01 +3.8801e-01 +1.3061e-01 +1.2460e-01 +9.1035e-01 +9.6836e-01 +2.5490e-01 +9.3695e-02 +9.1998e-01 +5.4860e-01 +8.8370e-01 +8.5416e-01 +1.0889e-01 +7.4808e-01 +1.7455e-01 +9.7656e-01 +2.5957e-02 +8.9339e-01 +1.2054e-01
57228 +9.083898380e+01 +9.083898380e+01 -1.562710162e+02 -1.562710162e+02 +9.9690e-02 +9.0357e-01 +5.8649e-01 +1.3061e-01 +1.2460e-01 +9.1035e-01 +9.6836e-01 +2.5490e-01 +9.3695e-02 +9.1998e-01 +8.9828e-01 +9.0649e-01 +9.9012e-01 +7.2633e-01 +9.9804e-01 +6.8998e-01 +9.8128e-01 +3.2708e-01 +8.9339e-01 +1.2054e-01
% function evaluation | noise-free fitness - Fopt (-1.520400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.096536352e+02 +1.096536352e+02 -4.238636480e+01 -4.238636480e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +1.053535579e+02 +1.053535579e+02 -4.668644207e+01 -4.668644207e+01 +9.1035e-02 +2.3200e-02 +9.1588e-03 +8.6378e-01 +6.7494e-02 +8.4358e-01 +4.5921e-01 +8.4364e-02 +5.5914e-01 +8.0032e-04 +4.5599e-01 +1.7670e-01 +6.6245e-01 +1.0287e-01 +3.9606e-01 +8.2940e-02 +7.8194e-01 +4.8652e-01 +7.3191e-01 +5.7966e-01
